Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,9,1974,9,30,1/9/1974,30/9/1974,2/9/1974,30/9/1974,11.34
1,10,1974,10,31,1/10/1974,31/10/1974,1/10/1974,31/10/1974,10.06
1,11,1974,11,30,1/11/1974,30/11/1974,1/11/1974,29/11/1974,9.45
1,12,1974,12,31,1/12/1974,31/12/1974,2/12/1974,31/12/1974,8.53
1,1,1975,1,31,1/1/1975,31/1/1975,1/1/1975,31/1/1975,7.13
1,2,1975,2,28,1/2/1975,28/2/1975,3/2/1975,28/2/1975,6.24
1,3,1975,3,31,1/3/1975,31/3/1975,3/3/1975,31/3/1975,5.54
1,4,1975,4,30,1/4/1975,30/4/1975,1/4/1975,30/4/1975,5.49
1,5,1975,5,31,1/5/1975,31/5/1975,1/5/1975,30/5/1975,5.22
1,6,1975,6,30,1/6/1975,30/6/1975,2/6/1975,30/6/1975,5.55
1,7,1975,7,31,1/7/1975,31/7/1975,1/7/1975,31/7/1975,6.1
1,8,1975,8,31,1/8/1975,31/8/1975,1/8/1975,29/8/1975,6.14
1,9,1975,9,30,1/9/1975,30/9/1975,1/9/1975,30/9/1975,6.24
1,10,1975,10,31,1/10/1975,31/10/1975,1/10/1975,31/10/1975,5.82
1,11,1975,11,30,1/11/1975,30/11/1975,3/11/1975,28/11/1975,5.22
1,12,1975,12,31,1/12/1975,31/12/1975,1/12/1975,31/12/1975,5.2
1,1,1976,1,31,1/1/1976,31/1/1976,1/1/1976,30/1/1976,4.87
1,2,1976,2,29,1/2/1976,29/2/1976,2/2/1976,27/2/1976,4.77
1,3,1976,3,31,1/3/1976,31/3/1976,1/3/1976,31/3/1976,4.84
1,4,1976,4,30,1/4/1976,30/4/1976,1/4/1976,30/4/1976,4.82
1,5,1976,5,31,1/5/1976,31/5/1976,3/5/1976,31/5/1976,5.29
1,6,1976,6,30,1/6/1976,30/6/1976,1/6/1976,30/6/1976,5.48
1,7,1976,7,31,1/7/1976,31/7/1976,1/7/1976,30/7/1976,5.31
1,8,1976,8,31,1/8/1976,31/8/1976,2/8/1976,31/8/1976,5.29
1,9,1976,9,30,1/9/1976,30/9/1976,1/9/1976,30/9/1976,5.25
1,10,1976,10,31,1/10/1976,31/10/1976,1/10/1976,29/10/1976,5.02
1,11,1976,11,30,1/11/1976,30/11/1976,1/11/1976,30/11/1976,4.95
1,12,1976,12,31,1/12/1976,31/12/1976,1/12/1976,31/12/1976,4.65
1,1,1977,1,31,1/1/1977,31/1/1977,3/1/1977,31/1/1977,4.61
1,2,1977,2,28,1/2/1977,28/2/1977,1/2/1977,28/2/1977,4.68
1,3,1977,3,31,1/3/1977,31/3/1977,1/3/1977,31/3/1977,4.69
1,4,1977,4,30,1/4/1977,30/4/1977,1/4/1977,29/4/1977,4.73
1,5,1977,5,31,1/5/1977,31/5/1977,2/5/1977,31/5/1977,5.35
1,6,1977,6,30,1/6/1977,30/6/1977,1/6/1977,30/6/1977,5.39
1,7,1977,7,31,1/7/1977,31/7/1977,1/7/1977,29/7/1977,5.42
1,8,1977,8,31,1/8/1977,31/8/1977,1/8/1977,31/8/1977,5.9
1,9,1977,9,30,1/9/1977,30/9/1977,1/9/1977,30/9/1977,6.14
1,10,1977,10,31,1/10/1977,31/10/1977,3/10/1977,31/10/1977,6.47
1,11,1977,11,30,1/11/1977,30/11/1977,1/11/1977,30/11/1977,6.51
1,12,1977,12,31,1/12/1977,31/12/1977,1/12/1977,30/12/1977,6.56
1,1,1978,1,31,1/1/1978,31/1/1978,2/1/1978,31/1/1978,6.7
1,2,1978,2,28,1/2/1978,28/2/1978,1/2/1978,28/2/1978,6.78
1,3,1978,3,31,1/3/1978,31/3/1978,1/3/1978,31/3/1978,6.79
1,4,1978,4,30,1/4/1978,30/4/1978,3/4/1978,28/4/1978,6.89
1,5,1978,5,31,1/5/1978,31/5/1978,1/5/1978,31/5/1978,7.36
1,6,1978,6,30,1/6/1978,30/6/1978,1/6/1978,30/6/1978,7.6
1,7,1978,7,31,1/7/1978,31/7/1978,3/7/1978,31/7/1978,7.81
1,8,1978,8,31,1/8/1978,31/8/1978,1/8/1978,31/8/1978,8.04
1,9,1978,9,30,1/9/1978,30/9/1978,1/9/1978,29/9/1978,8.45
1,10,1978,10,31,1/10/1978,31/10/1978,2/10/1978,31/10/1978,8.96
1,11,1978,11,30,1/11/1978,30/11/1978,1/11/1978,30/11/1978,9.76
1,12,1978,12,31,1/12/1978,31/12/1978,1/12/1978,29/12/1978,10.03
1,1,1979,1,31,1/1/1979,31/1/1979,1/1/1979,31/1/1979,10.07
1,2,1979,2,28,1/2/1979,28/2/1979,1/2/1979,28/2/1979,10.06
1,3,1979,3,31,1/3/1979,31/3/1979,1/3/1979,30/3/1979,10.09
1,4,1979,4,30,1/4/1979,30/4/1979,2/4/1979,30/4/1979,10.01
1,5,1979,5,31,1/5/1979,31/5/1979,1/5/1979,31/5/1979,10.24
1,6,1979,6,30,1/6/1979,30/6/1979,1/6/1979,29/6/1979,10.29
1,7,1979,7,31,1/7/1979,31/7/1979,2/7/1979,31/7/1979,10.47
1,8,1979,8,31,1/8/1979,31/8/1979,1/8/1979,31/8/1979,10.94
1,9,1979,9,30,1/9/1979,30/9/1979,3/9/1979,28/9/1979,11.43
1,10,1979,10,31,1/10/1979,31/10/1979,1/10/1979,31/10/1979,13.77
1,11,1979,11,30,1/11/1979,30/11/1979,1/11/1979,30/11/1979,13.18
1,12,1979,12,31,1/12/1979,31/12/1979,3/12/1979,31/12/1979,13.78
1,1,1980,1,31,1/1/1980,31/1/1980,1/1/1980,31/1/1980,13.82
1,2,1980,2,29,1/2/1980,29/2/1980,1/2/1980,29/2/1980,14.13
1,3,1980,3,31,1/3/1980,31/3/1980,3/3/1980,31/3/1980,17.19
1,4,1980,4,30,1/4/1980,30/4/1980,1/4/1980,30/4/1980,17.61
1,5,1980,5,31,1/5/1980,31/5/1980,1/5/1980,30/5/1980,10.98
1,6,1980,6,30,1/6/1980,30/6/1980,2/6/1980,30/6/1980,9.47
1,7,1980,7,31,1/7/1980,31/7/1980,1/7/1980,31/7/1980,9.03
1,8,1980,8,31,1/8/1980,31/8/1980,1/8/1980,29/8/1980,9.61
1,9,1980,9,30,1/9/1980,30/9/1980,1/9/1980,30/9/1980,10.87
1,10,1980,10,31,1/10/1980,31/10/1980,1/10/1980,31/10/1980,12.81
1,11,1980,11,30,1/11/1980,30/11/1980,3/11/1980,28/11/1980,15.85
1,12,1980,12,31,1/12/1980,31/12/1980,1/12/1980,31/12/1980,18.9
1,1,1981,1,31,1/1/1981,31/1/1981,1/1/1981,30/1/1981,19.08
1,2,1981,2,28,1/2/1981,28/2/1981,2/2/1981,27/2/1981,15.93
